sketching_order,is_recursive,n_vertices,beta,initialization_mode,n_active_modes,max_rel_error_mean,max_rel_error_std,mean_rel_error_mean,mean_rel_error_std,min_rel_error_mean,max_rel_error_max,max_abs_diff_mean,max_abs_diff_std,runtime_mean,runtime_std,runtime_min,runtime_max
1,false,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.06471997348051949,NaN,0.06471997348051949,0.06471997348051949
1,false,2,1.0,random,-1,2.654806177491457e-15,NaN,6.541207513759113e-16,3.811537231853624e-16,9.21807700517867e-18,2.654806177491457e-15,4.87890977618477e-19,NaN,0.3667007767857143,NaN,0.3667007767857143,0.3667007767857143
1,false,3,1.0,random,-1,1.192488322143566e-14,NaN,7.800419070389986e-16,1.0266113506887252e-15,2.129443432399225e-17,1.192488322143566e-14,1.8973538018496328e-18,NaN,0.7270611902857143,NaN,0.7270611902857143,0.7270611902857143
1,false,4,1.0,random,-1,0.2921777209558416,NaN,0.01181490861056854,0.01889637104751577,1.6224833117621194e-7,0.2921777209558416,4.635192411227863e-5,NaN,1.200445275,NaN,1.200445275,1.200445275
1,false,5,1.0,random,-1,0.1595053779751563,NaN,0.002368048909229382,0.004500815769758804,1.6323218155684672e-8,0.1595053779751563,2.5767928181738635e-5,NaN,1.4591580415,NaN,1.4591580415,1.4591580415
1,false,6,1.0,random,-1,0.2833269344108532,NaN,0.0023803114246580895,0.006520493075288548,2.559916682470832e-8,0.2833269344108532,5.5706111311200205e-5,NaN,1.833619875,NaN,1.833619875,1.833619875
1,false,7,1.0,random,-1,10.102770009612643,NaN,0.13993785065676617,0.2711040382947729,3.312358838718193e-7,10.102770009612643,0.0013998044399663903,NaN,2.2606857636666664,NaN,2.2606857636666664,2.2606857636666664
1,false,8,1.0,random,-1,2518.723517277309,NaN,7.799697216875024,40.83605283554926,7.511741465609987e-6,2518.723517277309,0.31820957852113374,NaN,2.1767065416666664,NaN,2.1767065416666664,2.1767065416666664
1,false,9,1.0,random,-1,68.14895867481815,NaN,0.37183191447092845,1.3156528010424369,2.0591782325199325e-7,68.14895867481815,0.0066072889336346915,NaN,2.6140486665,NaN,2.6140486665,2.6140486665
1,true,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.07638438633333333,NaN,0.07638438633333333,0.07638438633333333
1,true,2,1.0,random,-1,2.9497846416571746e-15,NaN,6.934299392870798e-16,4.093861196135303e-16,9.21807700517867e-18,2.9497846416571746e-15,5.421010862427522e-19,NaN,0.23903917447619047,NaN,0.23903917447619047,0.23903917447619047
1,true,3,1.0,random,-1,1.1882885874698985,NaN,0.22852754546175638,0.07718061103792923,0.10896265308499309,1.1882885874698985,0.00018906716546102206,NaN,0.5578336527777777,NaN,0.5578336527777777,0.5578336527777777
1,true,4,1.0,random,-1,3.9410922444793295,NaN,1.009655685165397,0.23472589894081788,0.00035492493310355575,3.9410922444793295,0.0006252263452462371,NaN,0.9081834445,NaN,0.9081834445,0.9081834445
1,true,5,1.0,random,-1,11.27094178058311,NaN,3.0273603441034713,0.5364659850490333,2.045026250401505,11.27094178058311,0.001820808940923977,NaN,1.1522545752,NaN,1.1522545752,1.1522545752
1,true,6,1.0,random,-1,30.02808625248914,NaN,7.679004620995573,1.525185373945288,0.12108776003376093,30.02808625248914,0.005903949508795461,NaN,1.33881613525,NaN,1.33881613525,1.33881613525
1,true,7,1.0,random,-1,4574.280781788424,NaN,52.4716050103004,90.84054925473853,0.003016919417496012,4574.280781788424,0.6337963293144266,NaN,1.34342141675,NaN,1.34342141675,1.34342141675
1,true,8,1.0,random,-1,1140.251874748297,NaN,113.8750800615909,31.337857994112188,0.048055924558670665,1140.251874748297,0.14405672793487478,NaN,1.37054219775,NaN,1.37054219775,1.37054219775
1,true,9,1.0,random,-1,455842.8098264912,NaN,5011.333611751943,14100.797579354872,0.12784684066561425,455842.8098264912,44.19561518489418,NaN,2.7607601255,NaN,2.7607601255,2.7607601255
2,false,1,1.0,random,-1,0.0,NaN,0.0,0.0,1.0e-20,0.0,NaN,NaN,0.09445596939622643,NaN,0.09445596939622643,0.09445596939622643
2,false,2,1.0,random,-1,2.654806177491457e-15,NaN,6.541207513759113e-16,3.811537231853624e-16,9.21807700517867e-18,2.654806177491457e-15,4.87890977618477e-19,NaN,0.5725793748888889,NaN,0.5725793748888889,0.5725793748888889
2,false,3,1.0,random,-1,2.6830987248230234e-15,NaN,3.2502043805071427e-16,3.1951037030989496e-16,5.323608580998063e-18,2.6830987248230234e-15,4.2690460541616737e-19,NaN,2.8760794585,NaN,2.8760794585,2.8760794585
2,false,4,1.0,random,-1,1.8366993675020516e-15,NaN,3.574197747886542e-16,2.1070167771214718e-16,1.0678484694779368e-17,1.8366993675020516e-15,2.913793338554793e-19,NaN,12.708603208,NaN,12.708603208,12.708603208
2,false,5,1.0,random,-1,2.3992867104879523e-14,NaN,1.4019072621994022e-15,1.2655819478091832e-15,1.0486392965419372e-17,2.3992867104879523e-14,3.876022766635678e-18,NaN,36.792327917,NaN,36.792327917,36.792327917
2,false,6,1.0,random,-1,3.299679771406647,NaN,0.004461025616159256,0.022588401663279824,1.0384884726919135e-8,3.299679771406647,0.0006487640471581411,NaN,60.977326875,NaN,60.977326875,60.977326875
2,false,7,1.0,random,-1,11.992646928271773,NaN,0.172286825742626,0.3658229120343209,1.708498427557091e-8,11.992646928271773,0.0016616591688389604,NaN,90.742851292,NaN,90.742851292,90.742851292
