order_recovery,epsilon,max_rel_error,runtime
1,0.0001,2.425570115197144e22,0.004108080488085456
1,1.0e-6,1.3884676283493658e32,0.004108080488085456
1,3.162277660168379e-6,9.45210248788638e31,0.004108080488085456
1,1.0e-5,3.6051737069697204e27,0.004108080488085456
1,3.1622776601683795e-5,3.989933894025346e26,0.004108080488085456
1,0.00031622776601683794,1.534648414360642e22,0.004108080488085456
1,0.001,1.3312592900738855e19,0.004108080488085456
1,0.0031622776601683794,1.3440635252226476e16,0.004108080488085456
1,0.010000000000000002,7.196203008093378e14,0.004108080488085456
1,0.03162277660168379,5.216494930834065e12,0.004108080488085456
1,0.1,4.782029375819376e10,0.004108080488085456
1,0.31622776601683794,2.389320595681112e11,0.004108080488085456
2,0.0001,9.179675510840351e19,0.023347190297674417
2,1.0e-6,1.114016037756005e29,0.023347190297674417
2,3.162277660168379e-6,1.1411669294781655e26,0.023347190297674417
2,1.0e-5,1.775881566959642e22,0.023347190297674417
2,3.1622776601683795e-5,2.39751300682717e23,0.023347190297674417
2,0.00031622776601683794,1.4320705473566085e18,0.023347190297674417
2,0.001,9.682864447303408e15,0.023347190297674417
2,0.0031622776601683794,1.4830100831819047e14,0.023347190297674417
2,0.010000000000000002,2.480214758968066e13,0.023347190297674417
2,0.03162277660168379,1.5729424603783215e11,0.023347190297674417
2,0.1,5.381667964820921e11,0.023347190297674417
2,0.31622776601683794,4.60551000473529e7,0.023347190297674417
4,0.0001,1.9130642221933166e14,0.16821836526666667
4,1.0e-6,9.107639396624673e26,0.16821836526666667
4,3.162277660168379e-6,8.300497301411034e24,0.16821836526666667
4,1.0e-5,1.0273303890306535e25,0.16821836526666667
4,3.1622776601683795e-5,3.9953263024928266e18,0.16821836526666667
4,0.00031622776601683794,3.837660715018555e7,0.16821836526666667
4,0.001,4579.7816070645895,0.16821836526666667
4,0.0031622776601683794,64.50777995222387,0.16821836526666667
4,0.010000000000000002,29962.28365511888,0.16821836526666667
4,0.03162277660168379,2.5285367237789366e7,0.16821836526666667
4,0.1,1.7285124592039537e7,0.16821836526666667
4,0.31622776601683794,2.176368558814781e7,0.16821836526666667
6,0.0001,4.2559134503390975e15,0.2777496753157895
6,1.0e-6,8.041038339495111e27,0.2777496753157895
6,3.162277660168379e-6,3.6510196045180805e27,0.2777496753157895
6,1.0e-5,1.7369680249576067e22,0.2777496753157895
6,3.1622776601683795e-5,8.773702287347176e19,0.2777496753157895
6,0.00031622776601683794,1.4363488205806408e9,0.2777496753157895
6,0.001,371.24624326644783,0.2777496753157895
6,0.0031622776601683794,1.675832579579863,0.2777496753157895
6,0.010000000000000002,0.02720191737421458,0.2777496753157895
6,0.03162277660168379,0.001249864780470601,0.2777496753157895
6,0.1,2.403854648300657e-6,0.2777496753157895
6,0.31622776601683794,7.135122218500199e-8,0.2777496753157895
