n_vertices,beta,order,order_recovery,sum_ground_truth,sum_recov,max_rel_error,max_abs_diff,max_prob,min_prob,runtime_mean,runtime_std,runtime_min,runtime_max
9,1.0,1,1,1.0000000000000007,0.9999999999999989,3.9983199772907016e-13,5.828670879282072e-16,0.18112438588541907,2.0382864411534165e-8,0.005266003091966173,NaN,0.005266003091966173,0.005266003091966173
9,1.0,1,2,1.0000000000000007,1.0000000000000013,5.230329781282255e-13,2.220446049250313e-16,0.18112438588541907,2.0382864411534165e-8,0.03012574144578313,NaN,0.03012574144578313,0.03012574144578313
9,1.0,1,3,1.0000000000000007,1.0,5.691327563577519e-13,2.7755575615628914e-16,0.18112438588541907,2.0382864411534165e-8,0.1117141732,NaN,0.1117141732,0.1117141732
9,1.0,1,4,1.0000000000000007,1.0000000000000002,3.7241494645621967e-13,2.220446049250313e-16,0.18112438588541907,2.0382864411534165e-8,0.3099252304117647,NaN,0.3099252304117647,0.3099252304117647
9,1.0,1,5,1.0000000000000007,1.000000000000001,3.272471119874851e-13,1.942890293094024e-16,0.18112438588541907,2.0382864411534165e-8,0.5821323565555556,NaN,0.5821323565555556,0.5821323565555556
9,1.0,1,6,1.0000000000000007,1.0000000000000004,4.55153979674939e-13,3.3306690738754696e-16,0.18112438588541907,2.0382864411534165e-8,0.8361769235,NaN,0.8361769235,0.8361769235
9,1.0,1,7,1.0000000000000007,0.9999999999999998,3.9825024477102106e-13,2.220446049250313e-16,0.18112438588541907,2.0382864411534165e-8,1.0880813164,NaN,1.0880813164,1.0880813164
9,1.0,1,8,1.0000000000000007,1.000000000000002,6.522094697022328e-13,2.7755575615628914e-16,0.18112438588541907,2.0382864411534165e-8,1.2377338084,NaN,1.2377338084,1.2377338084
9,1.0,2,1,0.9999999999999999,0.9999999999999983,60.40631652943041,0.01420615696066335,0.3878546251456804,5.761220772906263e-9,0.005342808457264957,NaN,0.005342808457264957,0.005342808457264957
9,1.0,2,2,0.9999999999999999,1.0000000000000029,5.985881860339078e-12,1.4432899320127035e-15,0.3878546251456804,5.761220772906263e-9,0.03101751589506173,NaN,0.03101751589506173,0.03101751589506173
9,1.0,2,3,0.9999999999999999,1.0000000000000022,1.3238214741100244e-11,1.5343629145014859e-15,0.3878546251456804,5.761220772906263e-9,0.11018008786956522,NaN,0.11018008786956522,0.11018008786956522
9,1.0,2,4,0.9999999999999999,0.9999999999999997,6.319411964236026e-12,1.5313271484185265e-15,0.3878546251456804,5.761220772906263e-9,0.312602690125,NaN,0.312602690125,0.312602690125
9,1.0,2,5,0.9999999999999999,0.9999999999999972,1.3727001924943672e-11,1.164866814118426e-15,0.3878546251456804,5.761220772906263e-9,0.5984222686666666,NaN,0.5984222686666666,0.5984222686666666
9,1.0,2,6,0.9999999999999999,0.9999999999999968,1.2508461645446205e-11,1.20346441145891e-15,0.3878546251456804,5.761220772906263e-9,0.8504604931666666,NaN,0.8504604931666666,0.8504604931666666
9,1.0,2,7,0.9999999999999999,1.0000000000000024,1.994116619459293e-11,1.609823385706477e-15,0.3878546251456804,5.761220772906263e-9,1.0750772417999999,NaN,1.0750772417999999,1.0750772417999999
9,1.0,2,8,0.9999999999999999,1.0000000000000033,6.934066451873923e-12,1.5543122344752192e-15,0.3878546251456804,5.761220772906263e-9,1.2403308834000002,NaN,1.2403308834000002,1.2403308834000002
9,1.0,3,1,1.0,1.0000000000000016,31.7797276630794,0.007391257223197112,0.426100847142677,5.338594392647564e-10,0.00531694335706695,NaN,0.00531694335706695,0.00531694335706695
9,1.0,3,2,1.0,1.0000000000000022,9.426219187910242e8,0.8515391626140886,0.426100847142677,5.338594392647564e-10,0.03114256806832298,NaN,0.03114256806832298,0.03114256806832298
9,1.0,3,3,1.0,1.0000000000000004,1.5673539279621313e-9,1.1570605584765303e-15,0.426100847142677,5.338594392647564e-10,0.11116885648888888,NaN,0.11116885648888888,0.11116885648888888
9,1.0,3,4,1.0,1.000000000000019,4.087159833140336e-10,3.536992747299461e-15,0.426100847142677,5.338594392647564e-10,0.31542790625,NaN,0.31542790625,0.31542790625
9,1.0,3,5,1.0,1.000000000000016,3.306792939392862e-10,2.9549930211092423e-15,0.426100847142677,5.338594392647564e-10,0.5896155463333334,NaN,0.5896155463333334,0.5896155463333334
9,1.0,3,6,1.0,1.0000000000000115,7.845414986625196e-10,2.1094237467877974e-15,0.426100847142677,5.338594392647564e-10,0.8524429998333334,NaN,0.8524429998333334,0.8524429998333334
9,1.0,3,7,1.0,1.0000000000000089,5.72485875624577e-10,3.582488580962384e-15,0.426100847142677,5.338594392647564e-10,1.063122825,NaN,1.063122825,1.063122825
9,1.0,3,8,1.0,1.0000000000000087,3.842630763052014e-10,3.0381513277388805e-15,0.426100847142677,5.338594392647564e-10,1.2245144498,NaN,1.2245144498,1.2245144498
9,1.0,4,1,0.9999999999999998,0.9999999999999984,715.4558806429935,0.0059022793196576995,0.43068520588099474,5.696220288402272e-11,0.0052678634762908325,NaN,0.0052678634762908325,0.0052678634762908325
9,1.0,4,2,0.9999999999999998,1.0000000000000098,345263.7811351918,0.00225919611885663,0.43068520588099474,5.696220288402272e-11,0.03088093285185185,NaN,0.03088093285185185,0.03088093285185185
9,1.0,4,3,0.9999999999999998,1.0000000003418623,2.196616925815642e10,7.198491746702548,0.43068520588099474,5.696220288402272e-11,0.11047181334782609,NaN,0.11047181334782609,0.11047181334782609
9,1.0,4,4,0.9999999999999998,1.000000000000008,8.091009381575879e-8,1.1235858164010404e-15,0.43068520588099474,5.696220288402272e-11,0.3132371199375,NaN,0.3132371199375,0.3132371199375
9,1.0,4,5,0.9999999999999998,1.0000000000000178,7.271368482137049e-8,2.757575475609156e-15,0.43068520588099474,5.696220288402272e-11,0.5805053981111111,NaN,0.5805053981111111,0.5805053981111111
